RespondentID,Do you celebrate Thanksgiving?,What is typically the main dish at your Thanksgiving dinner?,Sides dishes - Brussel sprouts,Sides dishes - Carrots,Sides dishes - Cauliflower,Sides dishes - Corn,Sides dishes - Cornbread,Sides dishes - Fruit salad,Sides dishes - Green beans/green bean casserole,Sides dishes - Macaroni and cheese,Sides dishes - Mashed potatoes,Sides dishes - Rolls/biscuits,Sides dishes - Squash,Sides dishes - Vegetable salad,Sides dishes - Yams/sweet potato casserole,Sides dishes - Other,How far will you travel for Thanksgiving?,US Region
4337954960,Yes,Turkey,,Carrots,,,,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,,,,Yams/sweet potato casserole,,Thanksgiving is local--it will take place in the town I live in,Middle Atlantic
4337951949,Yes,Turkey,,,,Corn,,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,Vegetable salad,Yams/sweet potato casserole,Other,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,East South Central
4337935621,Yes,Turkey,Brussel sprouts,Carrots,Cauliflower,Corn,Cornbread,,,,Mashed potatoes,Rolls/biscuits,,Vegetable salad,,,Thanksgiving is local--it will take place in the town I live in,Mountain
4337933040,Yes,Turkey,Brussel sprouts,,,,Cornbread,,,,Mashed potatoes,Rolls/biscuits,,Vegetable salad,Yams/sweet potato casserole,,Thanksgiving is local--it will take place in the town I live in,Pacific
4337931983,Yes,Tofurkey,Brussel sprouts,,,,Cornbread,,,,Mashed potatoes,Rolls/biscuits,Squash,Vegetable salad,Yams/sweet potato casserole,,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,Pacific
4337929779,Yes,Turkey,Brussel sprouts,Carrots,Cauliflower,Corn,Cornbread,Fruit salad,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,Squash,Vegetable salad,Yams/sweet potato casserole,,Thanksgiving is happening at my home--I won't travel at all,Pacific
4337924420,Yes,Turkey,,,,,,Fruit salad,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,East North Central
4337916002,Yes,Turkey,,Carrots,,,,,,,,,,,,,Thanksgiving is out of town and far away--I have to drive several hours or fly,Mountain
4337914977,Yes,Turkey,Brussel sprouts,,,Corn,Cornbread,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,Squash,,,,Thanksgiving is happening at my home--I won't travel at all,Middle Atlantic
4337899817,Yes,Other,Brussel sprouts,Carrots,,,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is happening at my home--I won't travel at all,East South Central
4337893416,Yes,Turkey,,,,Corn,,,,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,,,,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,Middle Atlantic
4337888291,Yes,Ham/Pork,,,,Corn,Cornbread,,,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,East North Central
4337878450,Yes,Turkey,,,,,,,,,Mashed potatoes,Rolls/biscuits,,Vegetable salad,,,Thanksgiving is local--it will take place in the town I live in,Middle Atlantic
4337878351,Yes,Turkey,,,,Corn,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,Vegetable salad,Yams/sweet potato casserole,,Thanksgiving is local--it will take place in the town I live in,West North Central
4337857295,Yes,Turkey,,,,,,,Green beans/green bean casserole,Macaroni and cheese,,,,,Yams/sweet potato casserole,,Thanksgiving is local--it will take place in the town I live in,Pacific
4337856362,Yes,Turducken,,,,Corn,Cornbread,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,Squash,,Yams/sweet potato casserole,,Thanksgiving is local--it will take place in the town I live in,Pacific
4337854106,Yes,Turkey,,Carrots,,Corn,,,,,Mashed potatoes,Rolls/biscuits,,Vegetable salad,,,Thanksgiving is happening at my home--I won't travel at all,East North Central
4337844879,Yes,Turkey,,,,,,Fruit salad,,,,,,Vegetable salad,Yams/sweet potato casserole,,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,Mountain
4337823612,Yes,Turkey,,,,Corn,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,,,Thanksgiving is local--it will take place in the town I live in,East North Central
4337820281,Yes,Turkey,Brussel sprouts,,,Corn,Cornbread,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is out of town and far away--I have to drive several hours or fly,Pacific
4337813502,Yes,Turkey,,,Cauliflower,Corn,Cornbread,,,,,,,,,,Thanksgiving is happening at my home--I won't travel at all,Pacific
4337793158,Yes,Turkey,,Carrots,Cauliflower,,,,,,,,,,,,Thanksgiving is happening at my home--I won't travel at all,Pacific
4337792130,Yes,Turkey,,,,,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,,,Thanksgiving is out of town and far away--I have to drive several hours or fly,West South Central
4337790002,Yes,Turkey,Brussel sprouts,Carrots,Cauliflower,Corn,Cornbread,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,Squash,,Yams/sweet potato casserole,,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,Middle Atlantic
4337783794,Yes,Turkey,Brussel sprouts,Carrots,,,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,,,Thanksgiving is local--it will take place in the town I live in,South Atlantic
4337779071,Yes,Turkey,,,,,Cornbread,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is local--it will take place in the town I live in,East North Central
4337778119,Yes,Other,Brussel sprouts,Carrots,,,,,Green beans/green bean casserole,,Mashed potatoes,,,,Yams/sweet potato casserole,,Thanksgiving is happening at my home--I won't travel at all,Pacific
4337774090,Yes,Turkey,,,,Corn,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,Vegetable salad,,,Thanksgiving is happening at my home--I won't travel at all,Pacific
4337772882,Yes,Other,,,,,,,,,Mashed potatoes,Rolls/biscuits,Squash,Vegetable salad,,,Thanksgiving is local--it will take place in the town I live in,Pacific
4337772193,Yes,Turkey,Brussel sprouts,,,Corn,Cornbread,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,Vegetable salad,Yams/sweet potato casserole,,Thanksgiving is local--it will take place in the town I live in,Pacific
4337771439,Yes,Tofurkey,Brussel sprouts,Carrots,,Corn,Cornbread,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,Squash,Vegetable salad,Yams/sweet potato casserole,,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,Middle Atlantic
4337763296,Yes,Turkey,,,,,,,Green beans/green bean casserole,Macaroni and cheese,,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is local--it will take place in the town I live in,South Atlantic
4337758789,Yes,Turkey,,,,,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,Thanksgiving is out of town and far away--I have to drive several hours or fly,East South Central
4337747968,Yes,Turkey,,Carrots,Cauliflower,Corn,Cornbread,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,Squash,Vegetable salad,Yams/sweet potato casserole,,Thanksgiving is local--it will take place in the town I live in,New England
4337743121,Yes,Turkey,Brussel sprouts,,,Corn,,,,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,,,,Thanksgiving is local--it will take place in the town I live in,Pacific
4337732348,Yes,Ham/Pork,,Carrots,,Corn,Cornbread,,,,Mashed potatoes,Rolls/biscuits,Squash,,Yams/sweet potato casserole,,Thanksgiving is happening at my home--I won't travel at all,West South Central
4337731242,Yes,Turkey,,Carrots,,,Cornbread,Fruit salad,,,,,,,,,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,West North Central
4337719588,Yes,Turkey,,,,Corn,,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,,Squash,,Yams/sweet potato casserole,,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,Middle Atlantic
